HS Code,ID,Rate
0205000000,SCTA08,-
0205000000,SCTS18,-
0205000000,SCTF028,-
0205000000,SCF90,-
0205000000,ENVL20,0.50%
0206100000,ID-01,5.00%
0206100000,ASD05,-
0206100000,GCT 06,15%
0206100000,EXC023,-
0206100000,SCTA08,-
0206100000,SCTS18,-
0206100000,SCTF028,-
0206100000,SCF90,-
0206100000,ENVL20,0.50%
0206210000,ID-01,5.00%
0206210000,ASD05,-
0206210000,GCT 06,15%
0206210000,EXC023,-
0206210000,SCTA08,-
0206210000,SCTS18,-
0206210000,SCTF028,-
0206210000,SCF90,-
0206210000,ENVL20,0.50%
0206220000,ID-01,5.00%
0206220000,ASD05,-
0206220000,GCT 06,15%
0206220000,EXC023,-
0206220000,SCTA08,-
0206220000,SCTS18,-
0206220000,SCTF028,-
0206220000,SCF90,-
0206220000,ENVL20,0.50%
0206290000,ID-01,5.00%
0206290000,ASD05,-
0206290000,GCT 06,15%
0206290000,EXC023,-
0206290000,SCTA08,-
0206290000,SCTS18,-
0206290000,SCTF028,-
0206290000,SCF90,-
0206290000,ENVL20,0.50%
0206300000,ID-01,5.00%
0206300000,ASD05,-
0206300000,GCT 06,15%
0206300000,EXC023,-
0206300000,SCTA08,-
0206300000,SCTS18,-
0206300000,SCTF028,-
0206300000,SCF90,-
0206300000,ENVL20,0.50%
0206410000,ID-01,5.00%
0206410000,ASD05,-
0206410000,GCT 06,15%
0206410000,EXC023,-
0206410000,SCTA08,-
0206410000,SCTS18,-
0206410000,SCTF028,-
0206410000,SCF90,-
0206410000,ENVL20,0.50%
0206491000,ID-01,5.00%
0206491000,ASD05,-
